EXAME|UNIDADE|VALOR_REF
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3| 4.100 a 8.900
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2019 a 5515
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|3 a 124
ACIDO 5 HIDROXI-INDOLACETICO, urina de 24 horas - Observação - Observação||
HEMOGLOBINA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,0 a 15,5
ACIDO DELTA AMINO LEVULINICO, urina - Ácido delta amino levulinico, Urina 24h - Ácido delta amino levulinico, Urina 24h|mg/24h|1,3 a 7,0
HEMOGRAMA, sangue total - Bastonetes - Bastonetes|/mm3|  Até 710
TRIAGEM DE ANFETAMINAS E METANFETAMINAS, urina - Anfetaminas e Metanfetaminas, urina - Anfetaminas e Metanfetaminas, urina||Negativo
TESTE IMUNOLOGICO PARA PESQUISA DE HELICOBACTER PYLORI NAS FEZES - Helicobacter Pylori, fezes - Helicobacter Pylori, fezes||Negativo
ARSENICO, sangue total - Arsenico, sangue - Arsenico, sangue|ng/mL|inferior a 13
DESIDROGENASE LACTICA (DHL), plasma - DHL - DHL|U/L|inferior a 615
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|400 a 2100
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|200 a 1200
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|0,9 3,4
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD3+ - Linfócitos T CD3+|/mm3|800 a 3500
SÉRIE BRANCA - Leucócitos - Leucócitos|/mm3|3.500 a 10.500
SÉRIE BRANCA - Neutrófilos - Neutrófilos|/mm3|1.700 a 7.000
SÉRIE BRANCA - Bastonetes - Bastonetes|/mm3|Até 840
SÉRIE BRANCA - Segmentados - Segmentados|/mm3|1.700 a 7.000
SÉRIE BRANCA - Eosinófilos - Eosinófilos|/mm3|50 a 500
SÉRIE BRANCA - Basófilos - Basófilos|/mm3|0 a 300
SÉRIE BRANCA - Linfócitos - Linfócitos|/mm3|900 a 2.900
SÉRIE BRANCA - Monócitos - Monócitos|/mm3|300 a 900
SÉRIE BRANCA - Neutrófilos (%) - Neutrófilos (%)||
SÉRIE BRANCA - Bastonetes (%) - Bastonetes (%)||
SÉRIE BRANCA - Segmentados (%) - Segmentados (%)||
SÉRIE BRANCA - Eosinófilos (%) - Eosinófilos (%)||
SÉRIE BRANCA - Basófilos (%) - Basófilos (%)||
SÉRIE BRANCA - Linfócitos (%) - Linfócitos (%)||
SÉRIE BRANCA - Monócitos (%) - Monócitos (%)||
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2614 a 6306
FENOBARBITAL, soro - Fenobarbital - Fenobarbital|microgramas/mL|15 a 40
CLORO, plasma - Cloro - Cloro|mEq/L|98 a 107
ALDOSTERONA, soro - Aldosterona/Renina - Aldosterona/Renina|ng/dL|Até 23,6
FERRITINA, soro - Ferritina - Ferritina|microg/L|50 a 200
METANEFRINAS, AMOSTRA ISOLADA, URINA - Normetanefrina, urina - Normetanefrina, urina||70 a 335
METANEFRINAS, AMOSTRA ISOLADA, URINA - Metanefrina total, urina - Metanefrina total, urina||110 a 480
METANEFRINAS, AMOSTRA ISOLADA, URINA - Metanefrina, urina - Metanefrina, urina||20 a 150
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|8 a 117
CALCIO, plasma - Cálcio - Cálcio|mg/dL|8,4 a 10,2
ALUMÍNIO, urina - Alumínio, urina 24h - Alumínio, urina 24h||inferior a 14
ALUMÍNIO, urina - Volume em 24hs - Volume em 24hs||
ACIDO URICO, amostra isolada de urina - Ácido Úrico, urina isolada - Ácido Úrico, urina isolada|mg/L|
ACIDO URICO, amostra isolada de urina - Relação Ácido Úrico/Creatinina - Relação Ácido Úrico/Creatinina|mg/g creatinina|297 a 594
PORFIRINAS, urina - Uroporfirinas - Uroporfirinas|microg/24h|inferior a 35
PORFIRINAS, urina - Heptaporfirinas - Heptaporfirinas|microg/24h|inferior a 20
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2096 a 5466
ANTICORPOS IGE ESPECIFICO, G12 - Centeio, soro - Rast - G12 - Centeio - Rast - G12 - Centeio|kU/L|inferior a 0,35
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Ferro|microg/dL|40 a 100
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), plasma - Gama-GT - Gama-GT|U/L|até 114
FOSFATASE ALCALINA (ALP), plasma - Fosfatase Alcalina - Fosfatase Alcalina|U/L|122 - 469
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), plasma - Gama-GT - Gama-GT|U/L|até 81
FOSFORO INORGANICO, plasma - Fósforo - Fósforo|mg/dL|4,5 a 6,7
POTASSIO, plasma - Potássio - Potássio|mEq/L|3,5 a 5,8
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), plasma - Gama-GT - Gama-GT|U/L|até 23
POTASSIO, plasma - Potássio - Potássio|mEq/L|3,5 a 6,3
ACIDO VANIL-MANDELICO, urina isolada - Ácido Vanil-Mandélico - Ácido Vanil-Mandélico|mg/g creatinina|1 a 7
CATECOLAMINAS LIVRES - Observação - Observação||
CARNITINA, soro - Carnitina total - Carnitina total|micromol/L|30 a 70
CARNITINA, soro - Carnitina Livre (CL) - Carnitina Livre (CL)|micromol/L|23 a 59
CARNITINA, soro - Ésteres de Carnitina (EC) - Ésteres de Carnitina (EC)|micromol/L|4 a 15
CARNITINA, soro - Relação Ésteres de Carnitina/Carnitina livre - Relação Ésteres de Carnitina/Carnitina livre||0,12 a 0,39
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2153 a 5550
ESQUISTOSSOMOSE, ANTICORPO IGG, soro - Esquistossomose, anticorpo IgG - Esquistossomose, anticorpo IgG||Negativo
GLUCAGON, plasma - Glucagon - Glucagon|pg/mL|Inferior ou igual a 80
HEMOGRAMA AUTOMATIZADO, sangue total - Leucócitos - Leucócitos|/mm3| 3.500 a 10.500
HEMOGRAMA AUTOMATIZADO, sangue total - Eosinófilos - Eosinófilos|/mm3| 50 a 500
HEMOGRAMA AUTOMATIZADO, sangue total - Linfócitos - Linfócitos|/mm3| 900 a 2.900
HEMOGRAMA AUTOMATIZADO, sangue total - Monócitos - Monócitos|/mm3| 300 a 900
HEMOGRAMA AUTOMATIZADO, sangue total - Plaquetas - Plaquetas|/mm3| 150.000 a 450.000
PESQUISA DE ANTIGENEMIA PARA CITOMEGALOVIRUS, sangue total - Citomegalovirus, pesquisa Antigenemia - Citomegalovirus, pesquisa Antigenemia||Negativo
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2657 a 6319
IGE ESPECIFICO, WX7 - PÓLENS, soro - Rast - WX7 - Pólens - Rast - WX7 - Pólens|kU/L|inferior a 0,35
D-XILOSE, PROVA DE ABSORCAO ORAL, plasma - D-Xilose, prova de absorção oral - D-Xilose, prova de absorção oral|mg/dL|Superior a 25
HEMOGRAMA, sangue total - Bastonetes - Bastonetes|/mm3|Até 910
IgG, IMUNOGLOBULINA, soro - IgG, Imunoglobulina - IgG, Imunoglobulina|mg/dL|320 a 1250
SEDIMENTO URINARIO - PRIMEIRO JATO - Eritrócitos qualitativo, urina 1J - Eritrócitos qualitativo, urina 1J|por campo|inferior a 10
SEDIMENTO URINARIO - PRIMEIRO JATO - Leucócitos qualitativo, urina 1J - Leucócitos qualitativo, urina 1J|por campo|inferior a 10
IGE ESPECIFICO, F81 - QUEIJO CHEDDAR, soro - Rast - F81 - Queijo Cheddar - Rast - F81 - Queijo Cheddar|kU/L|inferior a 0,35
SERIE VERMELHA AUTOMATIZADA, sangue total - Hemoglobina - Hemoglobina|g/dL|13,5 a 17,5
SERIE VERMELHA AUTOMATIZADA, sangue total - VCM - VCM|fL|81,0 a 95,0
SERIE VERMELHA AUTOMATIZADA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,30 a 5,70
SERIE VERMELHA AUTOMATIZADA, sangue total - Hematócrito - Hematócrito|%|39,0 a 50,0
SERIE VERMELHA AUTOMATIZADA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|26,0 a 34,0
SERIE VERMELHA AUTOMATIZADA, sangue total - Concentração de Hemoglobina Corpuscular - Concentração de Hemoglobina Corpuscular|g/dL|31,0 a 36,0
SERIE VERMELHA AUTOMATIZADA, sangue total - RDW - RDW|%|11,8 a 15,6
FRACAO MICROSSOMAL(LKM), AUTO-ANTICORPOS, soro - Observação - Observação||
MITOCONDRIA, PESQUISA DE ANTICORPOS IgG, soro - Mitocôndria, Anticorpos IgG - Mitocôndria, Anticorpos IgG||Não reagente
LINFOCITOS T AUXILIADORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|300 a 2000
LINFÓCITOS T SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|300 a 1800
LINFOCITOS B (CD-19), sangue - Linfocitos CD-19 - Linfocitos CD-19|/mm3|200 a 1600
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|1854 a 5242
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2517 a 6286
PRE-ALBUMINA, soro - Pré-albumina - Pré-albumina|mg/dL|22,0 a 45,00
GENOTIPAGEM DO VÍRUS DA HEPATITE C (VHC) - Hepatite C, Genotipagem - Hepatite C, Genotipagem||
ANTICORPOS ANTI-ADRENAL, soro - Anti-Adrenal, Anticorpos - Anti-Adrenal, Anticorpos||Negativo
AMINOACIDOS, plasma - Ácido aspártico - Ácido aspártico|micromol/L|2 a 20
AMINOACIDOS, plasma - Ácido glutâmico - Ácido glutâmico|micromol/L|51 a 277
AMINOACIDOS, plasma - Hidroxiprolina - Hidroxiprolina|micromol/L|13 a 72
AMINOACIDOS, plasma - Serina - Serina|micromol/L|87 a 241
AMINOACIDOS, plasma - Asparagina - Asparagina|micromol/L|12 a 70
AMINOACIDOS, plasma - Glicina - Glicina|micromol/L|133 a 409
AMINOACIDOS, plasma - Glutamina - Glutamina|micromol/L|240 a 1194
AMINOACIDOS, plasma - Histidina - Histidina|micromol/L|40 a 143
AMINOACIDOS, plasma - Citrulina - Citrulina|micromol/L|3 a 35
AMINOACIDOS, plasma - Arginina - Arginina|micromol/L|14 a 135
AMINOACIDOS, plasma - Treonina - Treonina|micromol/L|56 a 392
AMINOACIDOS, plasma - Alanina - Alanina|micromol/L|83 a 447
AMINOACIDOS, plasma - Prolina - Prolina|micromol/L|87 a 375
AMINOACIDOS, plasma - Tirosina - Tirosina|micromol/L|33 a 160
AMINOACIDOS, plasma - Valina - Valina|micromol/L|57 a 250
AMINOACIDOS, plasma - Metionina - Metionina|micromol/L|13 a 45
AMINOACIDOS, plasma - Isoleucina - Isoleucina|micromol/L|12 a 92
AMINOACIDOS, plasma - Leucina - Leucina|micromol/L|23 a 172
AMINOACIDOS, plasma - Fenilalanina - Fenilalanina|micromol/L|30 a 79
AMINOACIDOS, plasma - Triptofano - Triptofano|micromol/L|17 a 85
AMINOACIDOS, plasma - Ornitina - Ornitina|micromol/L|29 a 168
AMINOACIDOS, plasma - Lisina - Lisina|micromol/L|66 a 226
AMINOACIDOS, plasma - Taurina - Taurina|micromol/L|29 a 161
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), soro - Gama-GT - Gama-GT|U/L|até 81
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), soro - Gama-GT - Gama-GT|U/L|até 34
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), soro - Gama-GT - Gama-GT|U/L|até 23
LINFOCITOS T AUXILIADORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|1000 a 4600
LINFÓCITOS T SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|400 a 2100
LINFÓCITOS T SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|1,3 a 3,9
LINFOCITOS B (CD-19), sangue - Linfocitos CD-19 - Linfocitos CD-19|/mm3|600 a 2700
LINFOCITOS NATURAL KILLER, sangue - Linfócitos Natural Killer - Linfócitos Natural Killer|/mm3|200 a 1200
LINFOCITOS T AUXILIADORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|400 a 2100
LINFÓCITOS T SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|200 a 1200
LINFÓCITOS T SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|0,9 a 3,4
SEDIMENTO URINARIO - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina|g/L|inferior a 20.000/mL
SEDIMENTO URINARIO - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina|g/L|inferior a 10.000/mL
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|1289 a 3634
QUANTIFICAÇÃO DOS TRANSCRITOS BCR/ABL1 DO TIPO p210 - Relação BCR/ABL1(P210) / controle endógeno - Relação BCR/ABL1(P210) / controle endógeno|%|
TRIAGEM DE COCAINA, urina - Cocaína, urina - Cocaína, urina||Negativo
ETANOL, urina - Etanol, urina - Etanol, urina||Negativo
VITAMINA B5 (ÁCIDO PANTOTÊNICO), soro - Vitamina B5 - Vitamina B5||
TESTE DOS MULTIMEROS DO FATOR DE VON WILLEBRAND - Multímetros do fator de Von Willebrand - Multímetros do fator de Von Willebrand||
CLOBAZAM, soro - Clobazam, soro - Clobazam, soro|ng/mL|200 a 500
COBRE, urina - Período de coleta (horas) - Período de coleta (horas)||
COBRE, urina - Volume (mL) - Volume (mL)||
COBRE, urina - Cobre, urina - Cobre, urina|microg/24h|15  - 60
LINFOCITOS T AUXILIADORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|500 a 2400
LINFÓCITOS T SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|300 a 1600
LINFÓCITOS T SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|0,9 a 2,9
LINFOCITOS T TOTAIS (CD-3), sangue - Linfócitos T CD3+ - Linfócitos T CD3+|/mm3|700 a 4200
IGE ESPECIFICO, E4 - EPITELIO DE VACA, soro - Rast - E4 - Epitélio de vaca - Rast - E4 - Epitélio de vaca|kU/L|inferior a 0,35
PESQUISA DO PAPILOMAVÍRUS HUMANO (HPV) DE ALTO RISCO POR TÉCNICA MOLECULAR - Observação - Observação||
AMILASE, amostra isolada de urina - Amilase, urina - Amilase, urina|U/L|Menor ou igual a 460
ÁCIDO HIPÚRICO, urina - Ácido hipúrico - Ácido hipúrico|g/g creatinina|Até 1,5
ÁCIDO METIL-HIPÚRICO, urina - Creatinina - Creatinina||
ÁCIDO METIL-HIPÚRICO, urina - Ácido metil-hipúrico - Ácido metil-hipúrico||
ÁCIDO METIL-HIPÚRICO, urina - Relacao Methipur/Creatinina - Relacao Methipur/Creatinina|g/g creatinina|Indetectável
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|500 a 2400
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|300 a 1600
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+||0,9 a 2,9
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos T - Linfócitos T|/mm3|900 a 4500
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos B - Linfócitos B|/mm3|200 a 2100
SUBPOPULAÇÕES LINFOCITÁRIAS, sangue - Linfócitos Natural Killer - Linfócitos Natural Killer|/mm3|100 a 1000
URINA TIPO I - PRIMEIRO JATO - Bilirrubina, urina 1J - Bilirrubina, urina 1J||negativa
URINA TIPO I - PRIMEIRO JATO - Urobilinogênio, urina 1J - Urobilinogênio, urina 1J|mg/dL|inferior a 1,0
URINA TIPO I - PRIMEIRO JATO - Eritrócitos qualitativo, urina 1J - Eritrócitos qualitativo, urina 1J|por campo|inferior a 10
URINA TIPO I - PRIMEIRO JATO - Leucócitos qualitativo, urina 1J - Leucócitos qualitativo, urina 1J|por campo|inferior a 10
URINA TIPO I - PRIMEIRO JATO - Corpos cetônicos, urina 1J - Corpos cetônicos, urina 1J||negativa
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2779 a 6527
FOSFATIDILINOSITOL ANTICORPOS IgG, IgA e IgM, soro - Fosfatidilinositol IgG - Fosfatidilinositol IgG|U/mL|inferior a 10
FOSFATIDILINOSITOL ANTICORPOS IgG, IgA e IgM, soro - Fosfatidilinositol IgM - Fosfatidilinositol IgM|U/mL|inferior a 10
FOSFATIDILINOSITOL ANTICORPOS IgG, IgA e IgM, soro - Fosfatidilinositol IgA - Fosfatidilinositol IgA|U/mL|inferior a 10
CA 27-29, soro - CA 27-29 - CA 27-29|U/mL|Inferior ou igual a 38,0
ACIDOS ORGANICOS, urina  - Ácidos organicos, urina - Ácidos organicos, urina||
1,25-DIHIDROXIVITAMINA D, soro - Vitamina D, 1,25 Dihidroxi - Vitamina D, 1,25 Dihidroxi|pg/mL|30 a 83
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2718 a 6495
MAGNESIO, plasma - Magnésio - Magnésio|mg/dL|1,7 a 2,3
CALCIO, plasma - Cálcio - Cálcio|mg/dL|9,0 a 11,0
GLUCORONATO DE 3 ALFA, 17 BETA ANDROSTENEDIOL, soro - Glucoronato 3 Alfa, 17 Beta Androstenediol - Glucoronato 3 Alfa, 17 Beta Androstenediol|ng/dL|112 a 1046
CHLAMYDIA TRACHOMATIS, pesquisa de corpusculos elementares - Chlamydia Trachomatis, pesquisa - Chlamydia Trachomatis, pesquisa||Ausência de corpúsculos
ENOLASE NEURONIO-ESPECIFICA, soro - Enolase Neuronio-Específica - Enolase Neuronio-Específica|ng/mL|inferior a 17,00
PESQUISA QUANTITATIVA DO DNA DO VÍRUS HERPES-6 (HHV6) - Vírus Herpes-6 (HHV6) - Vírus Herpes-6 (HHV6)||Indetectável
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2749 a 6510
CHUMBO, urina - Chumbo, urina - Chumbo, urina|microg/g creatinina|inferior a 10
MERCURIO, urina - Mercúrio, urina - Mercúrio, urina|mg/g creatinina|Menor ou igual a 4
11-DESOXICORTICOSTERONA, SORO - 11-Desoxicorticosterona - 11-Desoxicorticosterona|ng/dL|Até 25
CORTISONA, SORO - Cortisona, soro - Cortisona, soro|ng/dL|800 a 3500
TRIPTASE, soro - Triptase - Triptase|ng/L|inferior a 10
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|1553 a 4557
CALCIO, plasma - Cálcio - Cálcio|mg/dL|8,8 a 10,8
TRIPANOSSOMA CRUZI, anticorpos Totais, soro - Tripanossoma Cruzi - IgG, IFI - Tripanossoma Cruzi - IgG, IFI||Não reagente
DESIDROGENASE LACTICA (DHL), plasma - DHL - DHL|U/L|inferior a 764
ELETROFORESE DE PROTEINAS URINARIAS - Eletro - Albumina, urina - Eletro - Albumina, urina||
ELETROFORESE DE PROTEINAS URINARIAS - Eletro - Alfa 1 globulina, urina - Eletro - Alfa 1 globulina, urina||
ELETROFORESE DE PROTEINAS URINARIAS - Eletro - Alfa 2 globulina, urina - Eletro - Alfa 2 globulina, urina||
ELETROFORESE DE PROTEINAS URINARIAS - Eletro - Beta globulina, urina - Eletro - Beta globulina, urina||
ELETROFORESE DE PROTEINAS URINARIAS - Eletro - Gama globulina, urina - Eletro - Gama globulina, urina||
TESTE MOLECULAR RÁPIDO PARA DETECÇÃO DE SARS-CoV-2 (COVID-19) - Covid 19, Detecção por PCR - Covid 19, Detecção por PCR||Não detectado
TESTE MOLECULAR RÁPIDO PARA DETECÇÃO DE SARS-CoV-2 (COVID-19) - Covid 19, Material - Covid 19, Material||
LINFÓCITOS B (CD20), sangue - Linfócitos B (CD-20) - Linfócitos B (CD-20)|/mm3|200 a 2100
Anti-Sp-100, autoanticorpos, soro - Sp-100/PML, Auto-Anticorpos - Sp-100/PML, Auto-Anticorpos|Unidades|Não reagente: inferior a 20,0
PESQUISA DE TOXOPLASMA GONDII POR MÉTODO MOLECULAR - Toxoplasma Gondii DNA - Toxoplasma Gondii DNA||Negativo
IGE ESPECIFICO, F5 - CENTEIO, soro - Rast - F5 - centeio - Rast - F5 - centeio|kU/L|inferior a 0,35
1,25-DIHIDROXIVITAMINA D, soro - Vitamina D, 1,25 Dihidroxi - Vitamina D, 1,25 Dihidroxi|pg/mL|31 a 87
PROTROMBINA, TESTE DE MISTURA, plasma - TP/INR - TP/INR|segundos|0,9 a 1,1
PROTROMBINA, TESTE DE MISTURA, plasma - Tempo de Protrombina - Tempo de Protrombina|segundos|10,1 a 12,8
TROMBOPLASTINA PARCIAL ATIVADA, TESTE DE MISTURA, plasma - TTPA - TTPA|segundos|25,4 a 33,4
TROMBOPLASTINA PARCIAL ATIVADA, TESTE DE MISTURA, plasma - TTPA-Paciente/Normal - TTPA-Paciente/Normal|segundos|0,91 a 1,20
TROMBOPLASTINA PARCIAL ATIVADA, TESTE DE MISTURA, plasma - TTPA-Normal do dia - TTPA-Normal do dia||
SERIE VERMELHA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,8 a 16,0
SERIE VERMELHA, sangue total - VCM - VCM|fL|81,0 a 92,0
SERIE VERMELHA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,40 a 5,50
SERIE VERMELHA, sangue total - Hematócrito - Hematócrito|%|37,0 a 47,0
SERIE VERMELHA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|25,0 a 35,0
SERIE VERMELHA, sangue total - RDW - RDW|%|11,6 a 13,8
VÍRUS DA FEBRE AMARELA, DETECÇÃO DO RNA POR PCR - Febre Amarela, PCR - Febre Amarela, PCR||
SÓDIO, amostra isolada de urina - Sódio, urina isolada - Sódio, urina isolada|mEq/L|25 a 301
TESTE RÁPIDO PARA DETECÇÃO DE M. TUBERCULOSIS E RESISTÊNCIA À RIFAMPICINA - Observação - Observação||
PESQUISA DE HERPESVIRUS 1 E 2 POR PCR - Observação - Observação||
PROTEÍNA S, ATIVIDADE, plasma - Proteína S Atividade - Proteína S Atividade|%|60 a 140
AMINOACIDOS, plasma - Ácido aspártico - Ácido aspártico|micromol/L|1 a 8
AMINOACIDOS, plasma - Ácido glutâmico - Ácido glutâmico|micromol/L|9 a 109
AMINOACIDOS, plasma - Hidroxiprolina - Hidroxiprolina|micromol/L|6 a 32
AMINOACIDOS, plasma - Serina - Serina|micromol/L|85 a 185
AMINOACIDOS, plasma - Asparagina - Asparagina|micromol/L|23 a 70
AMINOACIDOS, plasma - Glicina - Glicina|micromol/L|138 a 349
AMINOACIDOS, plasma - Glutamina - Glutamina|micromol/L|405 a 923
AMINOACIDOS, plasma - Histidina - Histidina|micromol/L|54 a 113
AMINOACIDOS, plasma - Citrulina - Citrulina|micromol/L|9 a 52
AMINOACIDOS, plasma - Arginina - Arginina|micromol/L|38 a 122
AMINOACIDOS, plasma - Treonina - Treonina|micromol/L|59 a 195
AMINOACIDOS, plasma - Alanina - Alanina|micromol/L|157 a 481
AMINOACIDOS, plasma - Prolina - Prolina|micromol/L|99 a 351
AMINOACIDOS, plasma - Tirosina - Tirosina|micromol/L|31 a 108
AMINOACIDOS, plasma - Valina - Valina|micromol/L|130 a 307
AMINOACIDOS, plasma - Metionina - Metionina|micromol/L|14 a 37
AMINOACIDOS, plasma - Isoleucina - Isoleucina|micromol/L|33 a 97
AMINOACIDOS, plasma - Leucina - Leucina|micromol/L|65 a 179
AMINOACIDOS, plasma - Fenilalanina - Fenilalanina|micromol/L|38 a 86
AMINOACIDOS, plasma - Triptofano - Triptofano|micromol/L|30 a 94
AMINOACIDOS, plasma - Ornitina - Ornitina|micromol/L|33 a 103
AMINOACIDOS, plasma - Lisina - Lisina|micromol/L|98 a 231
AMINOACIDOS, plasma - Taurina - Taurina|micromol/L|32 a 114
CROMATOGRAFIA DE ACUCARES, urina - Açucares, urina - Açucares, urina||Ausência de açucares
UREIA, soro - Uréia - Uréia||
CREATININA, soro - Creatinina - Creatinina||
SODIO, soro - Sódio - Sódio||
POTASSIO, soro - Potássio - Potássio||
GLICOSE, plasma - Glicose - Glicose||
HEMOGLOBINA GLICADA (A1C), sangue total - Hemoglobina Glicada - Hemoglobina Glicada||
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina||
HEMOGRAMA, sangue total - VCM - VCM||
HEMOGRAMA, sangue total - Leucócitos - Leucócitos||
HEMOGRAMA, sangue total - Neutrófilos - Neutrófilos||
HEMOGRAMA, sangue total - Eosinófilos - Eosinófilos||
HEMOGRAMA, sangue total - Basófilos - Basófilos||
HEMOGRAMA, sangue total - Linfócitos - Linfócitos||
HEMOGRAMA, sangue total - Monócitos - Monócitos||
HEMOGRAMA, sangue total - Plaquetas - Plaquetas||
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos||
HEMOGRAMA, sangue total - Hematócrito - Hematócrito||
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média||
HEMOGRAMA, sangue total - Concentração de Hemoglobina Corpuscular - Concentração de Hemoglobina Corpuscular||
HEMOGRAMA, sangue total - RDW - RDW||
HEMOGRAMA, sangue total - Volume plaquetário médio - Volume plaquetário médio||
LDL-COLESTEROL, soro - LDL-Colesterol - LDL-Colesterol||
NÃO-HDL-COLESTEROL, soro - Colesterol não-HDL, soro - Colesterol não-HDL, soro||
COLESTEROL TOTAL, soro - Colesterol total - Colesterol total||
HDL-COLESTEROL, soro - HDL-Colesterol - HDL-Colesterol||
TRIGLICERIDES, soro - Triglicérides - Triglicérides||
VLDL-COLESTEROL, soro - VLDL-Colesterol - VLDL-Colesterol||
TRANSAMINASE GLUTAMICO-OXALACETICA (TGO) - AST (TGO) - AST (TGO)||
TRANSAMINASE GLUTAMICO-PIRUVICA (TGP) - ALT (TGP) - ALT (TGP)||
TEMPO DE PROTROMBINA, plasma - TP/INR - TP/INR||
TEMPO DE PROTROMBINA, plasma - Tempo de Protrombina - Tempo de Protrombina||
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA - TTPA||
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA-Paciente/Normal - TTPA-Paciente/Normal||
